Region,crime,felony,high_education,population,revenue,unemployment,birthrate
республика ингушетия,2233.0,888.0,2515.0,524058.0,15947.0,"29,9","1,98"
республика калмыкия,2693.0,662.0,2994.0,267756.0,15748.0,"23,6","1,54"
республика карелия,11850.0,2674.0,2388.0,603067.0,27911.0,"14,2","1,65"
республика коми,14797.0,3540.0,3192.0,803477.0,33118.0,"14,0","1,66"
республика крым,20779.0,5429.0,пусто,1896393.0,17750.0,"17,3","1,55"
республика марий эл,7741.0,2084.0,2965.0,671455.0,18791.0,"20,4","1,53"
республика мордовия,8107.0,2114.0,3689.0,770673.0,17714.0,"17,8","1,14"
республика саха (якутия),13000.0,3250.0,4156.0,992115.0,38737.0,"18,6","1,79"
республика северная осетия - алания,пусто,пусто,пусто,пусто,22237.0,"14,0",пусто
республика северная осетия-алания,пусто,пусто,4736.0,688124.0,пусто,пусто,"1,67"
республика татарстан,52189.0,14843.0,10544.0,3886395.0,32297.0,"7,1",пусто
республика татарстан (татарстан),пусто,пусто,пусто,пусто,пусто,пусто,"1,52"
республика тыва,6619.0,1589.0,1788.0,332609.0,14881.0,"34,4","2,77"
республика хакасия,9493.0,2374.0,2166.0,528338.0,19542.0,"18,5","1,56"
российская федерация,пусто,пусто,460803.0,пусто,30717.0,"12,7","1,47"
ростовская область,57250.0,13112.0,9806.0,4153763.0,26533.0,"13,2","1,32"
рязанская область,9154.0,2931.0,4357.0,1085152.0,23660.0,"13,0","1,32"
самарская область,47060.0,12114.0,8913.0,3131720.0,26819.0,"12,7","1,37"
саратовская область,29200.0,8181.0,6357.0,2360959.0,19535.0,"15,6","1,18"
сахалинская область,8511.0,2120.0,2687.0,484177.0,50536.0,"8,3","1,9"
свердловская область,51822.0,12358.0,9422.0,4264340.0,34721.0,"9,5","1,6"
северо-западный фед.округ,197119.0,53815.0,пусто,пусто,пусто,пусто,пусто
северо-западный федеральный округ,пусто,пусто,52939.0,13901069.0,32831.0,пусто,"1,34"
северо-кавказский фед.округ,72492.0,21297.0,пусто,пусто,пусто,пусто,пусто
северо-кавказский федеральный округ,пусто,пусто,28852.0,9997336.0,22062.0,пусто,"1,78"
сибирский фед.округ,278840.0,72281.0,пусто,пусто,пусто,пусто,пусто
сибирский федеральный округ,пусто,пусто,55241.0,16889404.0,24022.0,пусто,"1,53"
смоленская область,14611.0,4350.0,3332.0,909856.0,23905.0,"16,1","1,19"
ставропольский край,33569.0,9726.0,6770.0,2780204.0,20532.0,"14,3","1,35"
тамбовская область,13799.0,3473.0,4243.0,980984.0,25782.0,"9,8","1,27"
тверская область,21352.0,6258.0,4404.0,1230190.0,24101.0,"12,2","1,38"
